PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Score,Club,PlayerName
-4.271074606091696,2.2548344954492436,-1.011046868307813,1.7642969320373354,2.1211818503691795,0.0023672879076054466,-0.4151404762023108,-1.4999387047081572,19.75,MUN,"Braund, Mr. Owen Harris"
-4.028250423618073,2.404185838956678,0.37736922268597395,0.004340638836157252,1.5933580705749608,-1.002031865243515,1.2513060989506044,-0.7351163756923774,21.3,MUN,"Allen, Mr. William Henry"
-6.008978753338821,-0.07380257619372872,-2.603054607419422,-0.397433382849327,1.9516797863018933,-1.9840086436863453,-0.7020167650971383,0.6588844182560876,19.88,MUN,"Moran, Mr. James"
-4.955593014021305,0.8046344904547186,-3.0373516651552444,1.0760922760961475,0.40079974811665764,-0.646907759152885,-0.14282266708989796,-0.8992645518753083,23.66,MUN,"McCarthy, Mr. Timothy J"
-3.6545823809379128,-0.2862580407825269,0.2012034723458958,-1.724042005459979,0.6298226601875957,0.910961480386426,-0.32111397327009933,-1.0930402018458338,17.64,MUN,"Palsson, Master. Gosta Leonard"
-5.080137355910431,-2.2898316512013137,-1.9162729155141276,0.31581808606050144,0.6945959166842254,-0.15486215239254394,0.24473974583141783,-0.34088907734645846,15.58,MUN,"Saundercock, Mr. William Henry"
-3.9610622898905232,-0.9006936236541156,-1.6728226622968303,-0.6953188298395786,0.8739553817941105,0.15820541053749326,2.092503298074144,-0.19508458525458444,19.99,MUN,"Andersson, Mr. Anders Johan"
-5.087518156609631,-0.646920352814534,-0.7834393736369113,-1.7117978819282118,-0.4172919465599977,-0.2747833435524631,0.8354277607030447,0.0013338462674781918,22.43,MUN,"Rice, Master. Eugene"
-3.5495205048613845,1.4000916255575586,2.3057800295956863,-1.1786958373586374,0.08051598162983865,1.4813403157033056,0.8773050232927004,0.2067315316974904,17.95,MUN,"Williams, Mr. Charles Eugene"
-3.9501400076259734,-2.8955058160067293,-1.3149829788657983,-1.7948249028080332,0.9355377313730779,-1.1109504399093644,1.5389827608440554,-0.6305904157746066,15.07,MUN,"Fynney, Mr. Joseph J"
-2.3696556533325888,3.2872651879350356,-5.402713912309171,-1.4611799048003464,0.5014132322793203,-0.9080307711862604,-0.7038295504425872,-0.061223916049363385,28.83,MUN,"Beesley, Mr. Lawrence"
-2.1196703581680634,0.47943143029743335,0.1469705520627903,-2.8781553702186216,0.7642665854914195,2.0091942467021027,0.35956130857145574,-0.4405719131984728,18.08,MUN,"Sloper, Mr. William Thompson"
-4.398539617357011,2.410992576124653,-0.062288200814877424,-1.250466868922076,-1.3560505751844778,0.650359007842245,-1.835429141514482,-0.5407624514299585,23.3,MUN,"Emir, Mr. Farred Chehab"
-2.3834705205156057,0.7404738351621756,-2.0461557287067484,-0.00202200905195838,0.009207853025975547,1.667755483256658,-0.12332518877711332,-0.30056172212210486,17.71,MUN,"Fortune, Mr. Charles Alexander"
-2.27604877051895,0.452248510054248,-1.8976220977845766,-1.8374977254951639,-0.564091785624192,0.6230596557774943,-1.1434068080616573,-1.002794549353277,18.77,MUN,"Todoroff, Mr. Lalio"
-4.046942906101711,0.24030082281236545,-1.831504552330967,-1.0809620124330663,0.53761884371505,-0.12482949961710232,-0.6378753670973408,-0.3533906720816502,19.83,MUN,"Uruchurtu, Don. Manuel E"
-5.477330948649728,2.4415440238809936,-0.9420645512489306,0.6803074957052259,0.039233147568260955,1.3261799353688934,-0.9756545120208853,-0.26112007344277144,25.16,MUN,"Wheadon, Mr. Edward H"
-2.5544947932239044,0.5089712917169604,1.9788292435873003,-2.67970164559812,-0.14112417220857587,2.7238176092680186,0.9012603794907584,-0.21113924767404302,18.04,MUN,"Meyer, Mr. Edgar Joseph"
-2.5424706725166737,2.2136449318056064,0.012580863491428843,-1.0816672567669299,0.00700030821680679,2.280365038046233,0.6624136914087512,-0.3221236933305468,21.79,MUN,"Holverson, Mr. Alexander Oskar"
